# spin-wave spectrum computed from ComputeSpinWave.java code
# computed at : 2015/01/24 18:12:12
# check out https://github.com/Eunsong/SpinDynamicsSimulator for most recent updates
#      k     omega  S[k][w]
  0.0000    0.0000  8.435e+00
  0.0000    0.0500  8.425e+00
  0.0000    0.1000  8.428e+00
  0.0000    0.1500  8.462e+00
  0.0000    0.2000  8.513e+00
  0.0000    0.2500  8.583e+00
  0.0000    0.3000  8.642e+00
  0.0000    0.3500  8.704e+00
  0.0000    0.4000  8.818e+00
  0.0000    0.4500  8.912e+00
  0.0000    0.5000  9.057e+00
  0.0000    0.5500  9.184e+00
  0.0000    0.6000  9.352e+00
  0.0000    0.6500  9.490e+00
  0.0000    0.7000  9.663e+00
  0.0000    0.7500  9.895e+00
  0.0000    0.8000  1.015e+01
  0.0000    0.8500  1.042e+01
  0.0000    0.9000  1.077e+01
  0.0000    0.9500  1.112e+01
  0.0000    1.0000  1.153e+01
  0.0000    1.0500  1.199e+01
  0.0000    1.1000  1.252e+01
  0.0000    1.1500  1.307e+01
  0.0000    1.2000  1.378e+01
  0.0000    1.2500  1.454e+01
  0.0000    1.3000  1.544e+01
  0.0000    1.3500  1.649e+01
  0.0000    1.4000  1.783e+01
  0.0000    1.4500  1.951e+01
  0.0000    1.5000  2.196e+01
  0.0000    1.5500  2.592e+01
  0.0000    1.6000  3.595e+01
  0.0000    1.6500  8.712e+01
  0.0000    1.7000  1.076e+02
  0.0000    1.7500  4.978e+01
  0.0000    1.8000  5.538e+01
  0.0000    1.8500  7.198e+01
  0.0000    1.9000  8.369e+01
  0.0000    1.9500  9.201e+01
  0.0000    2.0000  7.468e+01
  0.0000    2.0500  6.981e+01
  0.0000    2.1000  1.005e+02
  0.0000    2.1500  1.840e+02
  0.0000    2.2000  1.269e+02
  0.0000    2.2500  7.231e+01
  0.0000    2.3000  4.685e+01
  0.0000    2.3500  3.396e+01
  0.0000    2.4000  2.653e+01
  0.0000    2.4500  2.178e+01
  0.0000    2.5000  1.921e+01
  0.0000    2.5500  1.728e+01
  0.0000    2.6000  1.585e+01
  0.0000    2.6500  1.473e+01
  0.0000    2.7000  1.380e+01
  0.0000    2.7500  1.309e+01
  0.0000    2.8000  1.270e+01
  0.0000    2.8500  1.258e+01
  0.0000    2.9000  1.289e+01
  0.0000    2.9500  1.376e+01
  0.0000    3.0000  1.629e+01
  0.0000    3.0500  2.085e+01
  0.0000    3.1000  2.867e+01
  0.0000    3.1500  4.500e+01
  0.0000    3.2000  8.543e+01
  0.0000    3.2500  1.477e+02
  0.0000    3.3000  1.248e+02
  0.0000    3.3500  6.676e+01
  0.0000    3.4000  3.772e+01
