# spin-wave spectrum computed from ComputeSpinWave.java code
# computed at : 2015/01/30 23:57:41
# check out https://github.com/Eunsong/SpinDynamicsSimulator for most recent updates
#      k     omega  S[k][w]
  0.0000    0.0000  3.311e+04
  0.0000    0.0500  5.812e+02
  0.0000    0.1000  3.781e+02
  0.0000    0.1500  2.903e+02
  0.0000    0.2000  2.329e+02
  0.0000    0.2500  1.850e+02
  0.0000    0.3000  1.429e+02
  0.0000    0.3500  1.113e+02
  0.0000    0.4000  8.229e+01
  0.0000    0.4500  5.929e+01
  0.0000    0.5000  3.779e+01
  0.0000    0.5500  1.831e+01
  0.0000    0.6000  2.916e+00
  0.0000    0.6500  1.382e+01
  0.0000    0.7000  2.297e+01
  0.0000    0.7500  2.916e+01
  0.0000    0.8000  3.357e+01
  0.0000    0.8500  3.488e+01
  0.0000    0.9000  3.295e+01
  0.0000    0.9500  2.946e+01
  0.0000    1.0000  2.341e+01
  0.0000    1.0500  1.631e+01
  0.0000    1.1000  8.791e+00
  0.0000    1.1500  1.707e+00
  0.0000    1.2000  6.045e+00
  0.0000    1.2500  1.227e+01
  0.0000    1.3000  1.781e+01
  0.0000    1.3500  2.184e+01
  0.0000    1.4000  2.448e+01
  0.0000    1.4500  2.531e+01
  0.0000    1.5000  2.450e+01
  0.0000    1.5500  2.167e+01
  0.0000    1.6000  1.747e+01
  0.0000    1.6500  1.231e+01
  0.0000    1.7000  6.946e+00
  0.0000    1.7500  1.936e+00
  0.0000    1.8000  2.997e+00
  0.0000    1.8500  7.567e+00
  0.0000    1.9000  1.120e+01
  0.0000    1.9500  1.388e+01
  0.0000    2.0000  1.529e+01
  0.0000    2.0500  1.559e+01
  0.0000    2.1000  1.473e+01
  0.0000    2.1500  1.275e+01
  0.0000    2.2000  9.749e+00
  0.0000    2.2500  6.300e+00
  0.0000    2.3000  2.704e+00
  0.0000    2.3500  1.179e+00
  0.0000    2.4000  4.910e+00
  0.0000    2.4500  8.124e+00
  0.0000    2.5000  1.092e+01
  0.0000    2.5500  1.261e+01
  0.0000    2.6000  1.341e+01
  0.0000    2.6500  1.341e+01
  0.0000    2.7000  1.239e+01
  0.0000    2.7500  1.070e+01
  0.0000    2.8000  8.308e+00
  0.0000    2.8500  5.474e+00
  0.0000    2.9000  2.665e+00
  0.0000    2.9500  1.174e+00
  0.0000    3.0000  3.231e+00
  0.0000    3.0500  5.693e+00
  0.0000    3.1000  7.633e+00
  0.0000    3.1500  8.976e+00
  0.0000    3.2000  9.254e+00
  0.0000    3.2500  9.630e+00
  0.0000    3.3000  8.883e+00
  0.0000    3.3500  7.217e+00
  0.0000    3.4000  5.076e+00
  0.0000    3.4500  2.639e+00
  0.0000    3.5000  9.538e-01
  0.0000    3.5500  2.518e+00
  0.0000    3.6000  4.914e+00
  0.0000    3.6500  6.977e+00
  0.0000    3.7000  8.541e+00
  0.0000    3.7500  9.519e+00
  0.0000    3.8000  9.815e+00
  0.0000    3.8500  9.529e+00
  0.0000    3.9000  8.709e+00
  0.0000    3.9500  7.261e+00
  0.0000    4.0000  5.422e+00
  0.0000    4.0500  3.406e+00
  0.0000    4.1000  1.808e+00
  0.0000    4.1500  3.121e+00
  0.0000    4.2000  4.564e+00
  0.0000    4.2500  6.271e+00
  0.0000    4.3000  8.831e+00
  0.0000    4.3500  1.390e+01
  0.0000    4.4000  2.560e+01
  0.0000    4.4500  6.573e+01
  0.0000    4.5000  1.089e+02
  0.0000    4.5500  4.356e+01
  0.0000    4.6000  1.885e+01
  0.0000    4.6500  9.723e+00
  0.0000    4.7000  5.815e+00
  0.0000    4.7500  5.172e+00
  0.0000    4.8000  5.202e+00
  0.0000    4.8500  5.534e+00
  0.0000    4.9000  6.549e+00
  0.0000    4.9500  7.079e+00
  0.0000    5.0000  7.153e+00
  0.0000    5.0500  6.699e+00
  0.0000    5.1000  5.803e+00
  0.0000    5.1500  4.516e+00
  0.0000    5.2000  2.986e+00
  0.0000    5.2500  1.495e+00
  0.0000    5.3000  1.325e+00
  0.0000    5.3500  2.097e+00
  0.0000    5.4000  3.478e+00
  0.0000    5.4500  4.652e+00
  0.0000    5.5000  5.409e+00
  0.0000    5.5500  5.699e+00
  0.0000    5.6000  5.547e+00
  0.0000    5.6500  4.986e+00
  0.0000    5.7000  4.094e+00
  0.0000    5.7500  2.892e+00
  0.0000    5.8000  1.642e+00
  0.0000    5.8500  8.680e-01
  0.0000    5.9000  1.678e+00
  0.0000    5.9500  3.105e+00
  0.0000    6.0000  0.000e+00

  0.0323    0.0000  1.652e+01
  0.0323    0.0500  1.736e+01
  0.0323    0.1000  1.649e+01
  0.0323    0.1500  1.829e+01
  0.0323    0.2000  1.674e+01
  0.0323    0.2500  1.023e+01
  0.0323    0.3000  2.454e+01
  0.0323    0.3500  8.271e+01
  0.0323    0.4000  1.179e+02
  0.0323    0.4500  5.409e+01
  0.0323    0.5000  2.779e+01
