# spin-wave spectrum computed from ComputeSpinWave.java code
# computed at : 2015/01/23 18:00:19
# check out https://github.com/Eunsong/SpinDynamicsSimulator for most recent updates
#      k     omega  S[k][w]
  0.0000    0.0000  3.921e+03
  0.0000    0.0500  9.315e+01
  0.0000    0.1000  7.690e+01
  0.0000    0.1500  6.069e+01
  0.0000    0.2000  4.967e+01
  0.0000    0.2500  4.199e+01
  0.0000    0.3000  3.507e+01
  0.0000    0.3500  2.799e+01
  0.0000    0.4000  2.225e+01
  0.0000    0.4500  1.802e+01
  0.0000    0.5000  1.437e+01
  0.0000    0.5500  1.096e+01
  0.0000    0.6000  7.922e+00
  0.0000    0.6500  5.288e+00
  0.0000    0.7000  4.648e+00
  0.0000    0.7500  4.153e+00
  0.0000    0.8000  3.766e+00
  0.0000    0.8500  3.432e+00
  0.0000    0.9000  3.133e+00
  0.0000    0.9500  2.889e+00
  0.0000    1.0000  2.687e+00
  0.0000    1.0500  2.499e+00
  0.0000    1.1000  2.326e+00
  0.0000    1.1500  2.372e+00
  0.0000    1.2000  3.084e+00
  0.0000    1.2500  3.726e+00
  0.0000    1.3000  4.235e+00
  0.0000    1.3500  4.508e+00
  0.0000    1.4000  4.529e+00
  0.0000    1.4500  4.458e+00
  0.0000    1.5000  4.309e+00
  0.0000    1.5500  3.962e+00
  0.0000    1.6000  3.471e+00
  0.0000    1.6500  2.886e+00
  0.0000    1.7000  2.221e+00
  0.0000    1.7500  1.567e+00
  0.0000    1.8000  1.305e+00
  0.0000    1.8500  1.290e+00
  0.0000    1.9000  1.267e+00
  0.0000    1.9500  1.438e+00
  0.0000    2.0000  1.521e+00
  0.0000    2.0500  1.526e+00
  0.0000    2.1000  1.468e+00
  0.0000    2.1500  1.354e+00
  0.0000    2.2000  1.190e+00
  0.0000    2.2500  1.119e+00
  0.0000    2.3000  1.073e+00
  0.0000    2.3500  1.170e+00
  0.0000    2.4000  1.603e+00
  0.0000    2.4500  2.030e+00
  0.0000    2.5000  2.356e+00
  0.0000    2.5500  2.488e+00
  0.0000    2.6000  2.488e+00
  0.0000    2.6500  2.466e+00
  0.0000    2.7000  2.388e+00
  0.0000    2.7500  2.191e+00
  0.0000    2.8000  1.888e+00
  0.0000    2.8500  1.535e+00
  0.0000    2.9000  1.182e+00
  0.0000    2.9500  9.605e-01
  0.0000    3.0000  1.003e+00
  0.0000    3.0500  1.186e+00
  0.0000    3.1000  1.359e+00
  0.0000    3.1500  1.499e+00
  0.0000    3.2000  1.576e+00
  0.0000    3.2500  1.629e+00
  0.0000    3.3000  1.644e+00
  0.0000    3.3500  1.642e+00
  0.0000    3.4000  1.665e+00
  0.0000    3.4500  1.680e+00
  0.0000    3.5000  1.709e+00
  0.0000    3.5500  2.082e+00
  0.0000    3.6000  2.672e+00
  0.0000    3.6500  3.426e+00
  0.0000    3.7000  4.491e+00
  0.0000    3.7500  6.064e+00
  0.0000    3.8000  8.731e+00
  0.0000    3.8500  1.375e+01
  0.0000    3.9000  2.409e+01
  0.0000    3.9500  4.479e+01
  0.0000    4.0000  6.263e+01
  0.0000    4.0500  4.560e+01
  0.0000    4.1000  2.556e+01
  0.0000    4.1500  1.511e+01
  0.0000    4.2000  9.967e+00
  0.0000    4.2500  7.173e+00
  0.0000    4.3000  5.528e+00
  0.0000    4.3500  4.468e+00
  0.0000    4.4000  3.728e+00
  0.0000    4.4500  3.168e+00
  0.0000    4.5000  2.710e+00
  0.0000    4.5500  2.343e+00
  0.0000    4.6000  2.017e+00
  0.0000    4.6500  1.729e+00
  0.0000    4.7000  1.562e+00
  0.0000    4.7500  1.555e+00
  0.0000    4.8000  1.554e+00
  0.0000    4.8500  1.555e+00
  0.0000    4.9000  1.540e+00
  0.0000    4.9500  1.507e+00
  0.0000    5.0000  0.000e+00

  0.0385    0.0000  6.100e+00
  0.0385    0.0500  5.346e+00
  0.0385    0.1000  3.257e+00
  0.0385    0.1500  4.617e+00
  0.0385    0.2000  9.765e+00
  0.0385    0.2500  2.003e+01
  0.0385    0.3000  3.639e+01
  0.0385    0.3500  4.776e+01
  0.0385    0.4000  4.252e+01
  0.0385    0.4500  3.239e+01
  0.0385    0.5000  2.445e+01
  0.0385    0.5500  1.882e+01
  0.0385    0.6000  1.485e+01
  0.0385    0.6500  1.188e+01
  0.0385    0.7000  9.830e+00
  0.0385    0.7500  8.371e+00
  0.0385    0.8000  7.144e+00
  0.0385    0.8500  6.140e+00
  0.0385    0.9000  5.378e+00
  0.0385    0.9500  4.711e+00
  0.0385    1.0000  4.234e+00
  0.0385    1.0500  3.859e+00
  0.0385    1.1000  3.476e+00
  0.0385    1.1500  3.117e+00
  0.0385    1.2000  2.833e+00
  0.0385    1.2500  2.628e+00
  0.0385    1.3000  2.416e+00
  0.0385    1.3500  2.237e+00
  0.0385    1.4000  2.088e+00
  0.0385    1.4500  1.985e+00
  0.0385    1.5000  1.934e+00
  0.0385    1.5500  1.854e+00
  0.0385    1.6000  1.799e+00
  0.0385    1.6500  1.733e+00
  0.0385    1.7000  1.621e+00
  0.0385    1.7500  1.487e+00
  0.0385    1.8000  1.415e+00
  0.0385    1.8500  1.370e+00
  0.0385    1.9000  1.324e+00
  0.0385    1.9500  1.297e+00
  0.0385    2.0000  1.267e+00
  0.0385    2.0500  1.238e+00
  0.0385    2.1000  1.228e+00
