# spin-wave spectrum computed from ComputeSpinWave.java code
# computed at : 2015/01/22 16:07:56
# check out https://github.com/Eunsong/SpinDynamicsSimulator for most recent updates
#      k     omega  S[k][w]
  0.0000    0.0000  9.997e+03
  0.0000    0.0500  5.231e+01
  0.0000    0.1000  5.057e+01
  0.0000    0.1500  4.734e+01
  0.0000    0.2000  4.322e+01
  0.0000    0.2500  3.836e+01
  0.0000    0.3000  3.266e+01
  0.0000    0.3500  2.650e+01
  0.0000    0.4000  2.054e+01
  0.0000    0.4500  1.420e+01
  0.0000    0.5000  8.238e+00
  0.0000    0.5500  3.038e+00
  0.0000    0.6000  1.816e+00
  0.0000    0.6500  5.772e+00
  0.0000    0.7000  8.797e+00
  0.0000    0.7500  1.086e+01
  0.0000    0.8000  1.203e+01
  0.0000    0.8500  1.230e+01
  0.0000    0.9000  1.179e+01
  0.0000    0.9500  1.030e+01
  0.0000    1.0000  8.524e+00
  0.0000    1.0500  6.397e+00
  0.0000    1.1000  4.076e+00
  0.0000    1.1500  1.668e+00
  0.0000    1.2000  5.562e-01
  0.0000    1.2500  2.520e+00
  0.0000    1.3000  4.061e+00
  0.0000    1.3500  5.018e+00
  0.0000    1.4000  6.363e+00
  0.0000    1.4500  6.513e+00
  0.0000    1.5000  6.104e+00
  0.0000    1.5500  5.276e+00
  0.0000    1.6000  4.179e+00
  0.0000    1.6500  2.762e+00
  0.0000    1.7000  1.233e+00
  0.0000    1.7500  3.666e-01
  0.0000    1.8000  1.895e+00
  0.0000    1.8500  3.176e+00
  0.0000    1.9000  4.145e+00
  0.0000    1.9500  4.894e+00
  0.0000    2.0000  5.363e+00
  0.0000    2.0500  5.457e+00
  0.0000    2.1000  5.159e+00
  0.0000    2.1500  4.659e+00
  0.0000    2.2000  3.826e+00
  0.0000    2.2500  2.853e+00
  0.0000    2.3000  1.752e+00
  0.0000    2.3500  5.976e-01
  0.0000    2.4000  5.890e-01
  0.0000    2.4500  1.542e+00
  0.0000    2.5000  2.242e+00
  0.0000    2.5500  2.703e+00
  0.0000    2.6000  3.082e+00
  0.0000    2.6500  3.318e+00
  0.0000    2.7000  3.097e+00
  0.0000    2.7500  2.499e+00
  0.0000    2.8000  1.750e+00
  0.0000    2.8500  9.434e-01
  0.0000    2.9000  1.293e-01
  0.0000    2.9500  8.444e-01
  0.0000    3.0000  1.730e+00
  0.0000    3.0500  2.530e+00
  0.0000    3.1000  3.167e+00
  0.0000    3.1500  3.563e+00
  0.0000    3.2000  3.797e+00
  0.0000    3.2500  3.719e+00
  0.0000    3.3000  3.409e+00
  0.0000    3.3500  2.935e+00
  0.0000    3.4000  2.399e+00
  0.0000    3.4500  1.737e+00
  0.0000    3.5000  1.067e+00
  0.0000    3.5500  3.547e-01
  0.0000    3.6000  4.870e-01
  0.0000    3.6500  1.395e+00
  0.0000    3.7000  1.908e+00
  0.0000    3.7500  2.157e+00
  0.0000    3.8000  2.177e+00
  0.0000    3.8500  2.061e+00
  0.0000    3.9000  1.802e+00
  0.0000    3.9500  1.426e+00
  0.0000    4.0000  1.043e+00
  0.0000    4.0500  5.272e-01
  0.0000    4.1000  1.385e-01
  0.0000    4.1500  8.322e-01
  0.0000    4.2000  1.445e+00
  0.0000    4.2500  1.971e+00
  0.0000    4.3000  2.357e+00
  0.0000    4.3500  2.561e+00
  0.0000    4.4000  2.634e+00
  0.0000    4.4500  2.544e+00
  0.0000    4.5000  2.258e+00
  0.0000    4.5500  1.875e+00
  0.0000    4.6000  1.395e+00
  0.0000    4.6500  8.283e-01
  0.0000    4.7000  2.534e-01
  0.0000    4.7500  2.586e-01
  0.0000    4.8000  7.759e-01
  0.0000    4.8500  1.156e+00
  0.0000    4.9000  1.459e+00
  0.0000    4.9500  1.595e+00
  0.0000    5.0000  0.000e+00

  0.0099    0.0000  1.665e+03
  0.0099    0.0500  4.426e+01
  0.0099    0.1000  3.390e+01
  0.0099    0.1500  3.063e+01
  0.0099    0.2000  2.745e+01
  0.0099    0.2500  2.431e+01
  0.0099    0.3000  2.090e+01
  0.0099    0.3500  1.711e+01
  0.0099    0.4000  1.300e+01
  0.0099    0.4500  9.502e+00
  0.0099    0.5000  5.883e+00
  0.0099    0.5500  2.669e+00
  0.0099    0.6000  1.642e-01
  0.0099    0.6500  2.608e+00
  0.0099    0.7000  4.362e+00
  0.0099    0.7500  5.586e+00
  0.0099    0.8000  6.216e+00
  0.0099    0.8500  6.445e+00
  0.0099    0.9000  6.063e+00
  0.0099    0.9500  5.257e+00
  0.0099    1.0000  4.150e+00
  0.0099    1.0500  2.902e+00
  0.0099    1.1000  1.445e+00
  0.0099    1.1500  3.583e-02
  0.0099    1.2000  1.445e+00
  0.0099    1.2500  2.688e+00
  0.0099    1.3000  3.663e+00
  0.0099    1.3500  4.505e+00
  0.0099    1.4000  4.511e+00
  0.0099    1.4500  4.622e+00
  0.0099    1.5000  4.466e+00
  0.0099    1.5500  3.972e+00
  0.0099    1.6000  3.362e+00
  0.0099    1.6500  2.578e+00
  0.0099    1.7000  1.685e+00
  0.0099    1.7500  7.373e-01
  0.0099    1.8000  2.017e-01
  0.0099    1.8500  1.002e+00
  0.0099    1.9000  1.611e+00
  0.0099    1.9500  2.017e+00
  0.0099    2.0000  2.324e+00
  0.0099    2.0500  2.405e+00
  0.0099    2.1000  2.224e+00
  0.0099    2.1500  1.806e+00
  0.0099    2.2000  1.242e+00
  0.0099    2.2500  6.607e-01
  0.0099    2.3000  1.182e-02
  0.0099    2.3500  7.251e-01
  0.0099    2.4000  1.439e+00
  0.0099    2.4500  2.068e+00
  0.0099    2.5000  2.553e+00
  0.0099    2.5500  2.923e+00
  0.0099    2.6000  3.001e+00
  0.0099    2.6500  2.770e+00
  0.0099    2.7000  2.522e+00
  0.0099    2.7500  2.241e+00
  0.0099    2.8000  1.858e+00
  0.0099    2.8500  1.403e+00
  0.0099    2.9000  8.936e-01
  0.0099    2.9500  3.542e-01
  0.0099    3.0000  1.917e-01
  0.0099    3.0500  6.342e-01
  0.0099    3.1000  9.317e-01
  0.0099    3.1500  1.169e+00
  0.0099    3.2000  1.270e+00
  0.0099    3.2500  1.227e+00
  0.0099    3.3000  1.038e+00
  0.0099    3.3500  7.283e-01
  0.0099    3.4000  3.655e-01
  0.0099    3.4500  9.207e-02
  0.0099    3.5000  6.086e-01
  0.0099    3.5500  1.112e+00
  0.0099    3.6000  1.396e+00
  0.0099    3.6500  1.552e+00
  0.0099    3.7000  1.751e+00
  0.0099    3.7500  1.941e+00
  0.0099    3.8000  2.030e+00
  0.0099    3.8500  2.019e+00
  0.0099    3.9000  1.868e+00
  0.0099    3.9500  1.571e+00
  0.0099    4.0000  1.104e+00
  0.0099    4.0500  5.976e-01
  0.0099    4.1000  2.125e-01
  0.0099    4.1500  1.378e-01
  0.0099    4.2000  4.704e-01
  0.0099    4.2500  7.280e-01
  0.0099    4.3000  9.257e-01
  0.0099    4.3500  1.030e+00
  0.0099    4.4000  1.038e+00
  0.0099    4.4500  9.645e-01
  0.0099    4.5000  7.895e-01
  0.0099    4.5500  5.252e-01
  0.0099    4.6000  2.387e-01
  0.0099    4.6500  1.166e-01
  0.0099    4.7000  4.654e-01
  0.0099    4.7500  8.194e-01
  0.0099    4.8000  1.117e+00
  0.0099    4.8500  1.366e+00
  0.0099    4.9000  1.537e+00
  0.0099    4.9500  1.630e+00
  0.0099    5.0000  0.000e+00

  0.0198    0.0000  2.734e+01
  0.0198    0.0500  4.899e+01
  0.0198    0.1000  3.697e+01
  0.0198    0.1500  3.315e+01
  0.0198    0.2000  2.991e+01
  0.0198    0.2500  2.647e+01
  0.0198    0.3000  2.264e+01
  0.0198    0.3500  1.866e+01
  0.0198    0.4000  1.419e+01
  0.0198    0.4500  1.027e+01
  0.0198    0.5000  6.418e+00
  0.0198    0.5500  2.901e+00
  0.0198    0.6000  1.611e-01
  0.0198    0.6500  2.696e+00
  0.0198    0.7000  4.611e+00
  0.0198    0.7500  6.214e+00
  0.0198    0.8000  6.878e+00
  0.0198    0.8500  7.023e+00
  0.0198    0.9000  6.622e+00
  0.0198    0.9500  5.765e+00
  0.0198    1.0000  4.567e+00
  0.0198    1.0500  3.113e+00
  0.0198    1.1000  1.533e+00
  0.0198    1.1500  3.311e-03
  0.0198    1.2000  1.367e+00
  0.0198    1.2500  2.772e+00
  0.0198    1.3000  3.898e+00
  0.0198    1.3500  4.783e+00
  0.0198    1.4000  5.001e+00
  0.0198    1.4500  4.898e+00
  0.0198    1.5000  4.831e+00
  0.0198    1.5500  4.397e+00
  0.0198    1.6000  3.703e+00
  0.0198    1.6500  2.673e+00
  0.0198    1.7000  1.683e+00
  0.0198    1.7500  7.048e-01
  0.0198    1.8000  2.448e-01
  0.0198    1.8500  1.104e+00
  0.0198    1.9000  1.796e+00
  0.0198    1.9500  2.263e+00
  0.0198    2.0000  2.524e+00
  0.0198    2.0500  2.533e+00
  0.0198    2.1000  2.341e+00
  0.0198    2.1500  2.086e+00
  0.0198    2.2000  1.530e+00
  0.0198    2.2500  8.394e-01
  0.0198    2.3000  4.744e-02
  0.0198    2.3500  7.222e-01
  0.0198    2.4000  1.489e+00
  0.0198    2.4500  2.165e+00
  0.0198    2.5000  2.733e+00
  0.0198    2.5500  3.215e+00
  0.0198    2.6000  3.293e+00
  0.0198    2.6500  2.971e+00
  0.0198    2.7000  2.620e+00
  0.0198    2.7500  2.346e+00
  0.0198    2.8000  1.973e+00
  0.0198    2.8500  1.460e+00
  0.0198    2.9000  9.238e-01
  0.0198    2.9500  3.732e-01
  0.0198    3.0000  1.641e-01
  0.0198    3.0500  6.838e-01
  0.0198    3.1000  1.119e+00
  0.0198    3.1500  1.399e+00
  0.0198    3.2000  1.478e+00
  0.0198    3.2500  1.396e+00
  0.0198    3.3000  1.168e+00
  0.0198    3.3500  8.243e-01
  0.0198    3.4000  3.978e-01
  0.0198    3.4500  4.060e-02
  0.0198    3.5000  5.466e-01
  0.0198    3.5500  1.068e+00
  0.0198    3.6000  1.489e+00
  0.0198    3.6500  1.717e+00
  0.0198    3.7000  1.906e+00
  0.0198    3.7500  2.076e+00
  0.0198    3.8000  2.130e+00
  0.0198    3.8500  2.124e+00
  0.0198    3.9000  2.002e+00
  0.0198    3.9500  1.687e+00
  0.0198    4.0000  1.177e+00
  0.0198    4.0500  6.568e-01
  0.0198    4.1000  2.156e-01
  0.0198    4.1500  1.802e-01
  0.0198    4.2000  5.216e-01
  0.0198    4.2500  8.270e-01
  0.0198    4.3000  1.029e+00
  0.0198    4.3500  1.141e+00
  0.0198    4.4000  1.166e+00
  0.0198    4.4500  1.094e+00
  0.0198    4.5000  8.755e-01
  0.0198    4.5500  6.112e-01
  0.0198    4.6000  2.823e-01
  0.0198    4.6500  8.671e-02
  0.0198    4.7000  4.929e-01
  0.0198    4.7500  8.412e-01
  0.0198    4.8000  1.165e+00
  0.0198    4.8500  1.435e+00
  0.0198    4.9000  1.657e+00
  0.0198    4.9500  1.728e+00
  0.0198    5.0000  0.000e+00

  0.0297    0.0000  8.399e+01
  0.0297    0.0500  1.442e+02
  0.0297    0.1000  2.815e+01
  0.0297    0.1500  1.777e+01
  0.0297    0.2000  1.356e+01
  0.0297    0.2500  1.118e+01
  0.0297    0.3000  9.244e+00
  0.0297    0.3500  7.360e+00
  0.0297    0.4000  5.833e+00
  0.0297    0.4500  3.983e+00
  0.0297    0.5000  2.464e+00
  0.0297    0.5500  1.200e+00
  0.0297    0.6000  1.390e-01
  0.0297    0.6500  8.934e-01
  0.0297    0.7000  1.561e+00
  0.0297    0.7500  1.985e+00
  0.0297    0.8000  2.163e+00
  0.0297    0.8500  2.319e+00
  0.0297    0.9000  2.073e+00
  0.0297    0.9500  1.720e+00
  0.0297    1.0000  1.211e+00
  0.0297    1.0500  7.473e-01
  0.0297    1.1000  1.427e-01
  0.0297    1.1500  4.890e-01
  0.0297    1.2000  1.062e+00
  0.0297    1.2500  1.593e+00
  0.0297    1.3000  1.916e+00
  0.0297    1.3500  2.313e+00
  0.0297    1.4000  2.503e+00
  0.0297    1.4500  2.102e+00
  0.0297    1.5000  2.106e+00
  0.0297    1.5500  1.890e+00
  0.0297    1.6000  1.662e+00
  0.0297    1.6500  1.377e+00
  0.0297    1.7000  1.034e+00
  0.0297    1.7500  6.236e-01
  0.0297    1.8000  1.848e-01
  0.0297    1.8500  9.004e-02
  0.0297    1.9000  3.213e-01
  0.0297    1.9500  4.740e-01
  0.0297    2.0000  5.822e-01
  0.0297    2.0500  6.548e-01
  0.0297    2.1000  5.457e-01
  0.0297    2.1500  3.475e-01
  0.0297    2.2000  9.720e-02
  0.0297    2.2500  1.308e-01
  0.0297    2.3000  3.653e-01
  0.0297    2.3500  6.904e-01
  0.0297    2.4000  9.951e-01
  0.0297    2.4500  1.274e+00
  0.0297    2.5000  1.481e+00
  0.0297    2.5500  1.637e+00
  0.0297    2.6000  1.763e+00
  0.0297    2.6500  1.576e+00
  0.0297    2.7000  1.289e+00
  0.0297    2.7500  1.130e+00
  0.0297    2.8000  9.833e-01
  0.0297    2.8500  8.409e-01
